time,absolute_error,loss_FD,loss_BC
1,0.3380511701107025,-77.01381725555356,3.062160924195562
2,0.07571697980165482,-78.15917639387493,0.23527511188445324
3,0.2022237330675125,-79.47449029616772,0.6223566424983894
4,0.28365373611450195,-78.10971129487072,1.5912858265975076
5,0.2526276707649231,-78.44822609981739,1.3193102575757
6,0.19225503504276276,-77.80482418377031,0.5198015354192658
7,0.16724032163619995,-78.11935363192586,0.06976082105782373
8,0.19360515475273132,-78.52076684612857,0.18542796450788945
9,0.23017020523548126,-78.59507416264404,0.5408082285407714
10,0.2527788579463959,-78.68477965194464,0.7177753490692623
11,0.26174062490463257,-77.09975450919796,0.5691726344156364
12,0.2684352397918701,-78.04325455086065,0.2751430044581103
13,0.2799568474292755,-77.86559084148762,0.06754124701704867
14,0.29773691296577454,-77.68331476010837,0.05719497523472951
15,0.3174748420715332,-77.02945106410246,0.18391280107608624
16,0.3326011002063751,-77.45634583676363,0.3117693463315766
17,0.3415890634059906,-78.81836887869434,0.33370937848547483
18,0.3467097580432892,-77.26677822439146,0.23574429609614228
19,0.35146981477737427,-77.53582317659013,0.10630943525696136
20,0.3568430244922638,-77.80439522817673,0.029764168690197913
21,0.3663920760154724,-77.2668825467499,0.03930525986604859
22,0.3739950358867645,-77.70205448521368,0.0995198199953056
23,0.3795270323753357,-77.35850138117394,0.15316755106800975
24,0.382319837808609,-77.77023391136773,0.15412646462966556
25,0.3827824592590332,-78.05924343487155,0.10558974601706114
26,0.3821429908275604,-77.50254391928914,0.0462984781627554
27,0.3814374804496765,-77.21786328486006,0.01641153472914465
28,0.38288646936416626,-77.0029157040014,0.026583064943896603
29,0.3833657205104828,-77.44635907783797,0.05603650141062233
30,0.383385568857193,-78.15600794743202,0.07838539255397177
31,0.38200023770332336,-77.3885796324169,0.07121083693486507
32,0.3802965581417084,-77.90539251427097,0.04466269741055531
33,0.3789924383163452,-77.37778339548603,0.01883102542920392
34,0.37579870223999023,-77.51994376361085,0.01075172242122623
35,0.3735294044017792,-77.44528407419656,0.020666608036448562
36,0.36954668164253235,-77.1555285685115,0.03553648606080483
37,0.3635183274745941,-77.75553089334954,0.0397724666774363
38,0.3582255244255066,-78.21092024419727,0.031170322091391436
39,0.3503279387950897,-78.66566950831685,0.01678793064106616
40,0.34421661496162415,-78.12910211349951,0.008611811700395738
41,0.3377649188041687,-78.68033302092584,0.010907110988766342
42,0.3323995769023895,-77.43693905050839,0.01828277013610035
43,0.326227605342865,-78.48419328873219,0.021581593934990973
44,0.3200617730617523,-77.73430927566258,0.018523981119393997
45,0.31458112597465515,-77.68294981762455,0.011458904212402988
