time,absolute_error,loss_FD
1,0.1757093369960785,-39.42615889162123
2,0.06655557453632355,-39.74531741865874
3,0.06476034969091415,-39.36368197853002
4,0.10915488004684448,-39.55721804018889
5,0.09662576764822006,-39.355492179912076
6,0.06199384853243828,-39.70139166705536
7,0.06384384632110596,-40.162757837804136
8,0.11441643536090851,-39.72346672869578
9,0.1651986688375473,-39.24888867152733
10,0.19531096518039703,-39.82449261230288
11,0.19931161403656006,-39.030935000282284
12,0.18462006747722626,-39.483256122070046
13,0.161152184009552,-39.792888995437295
14,0.13890063762664795,-40.153859469084864
15,0.12279851734638214,-39.08175188578562
16,0.11592259258031845,-39.83210280887789
17,0.11731815338134766,-39.616496224062786
18,0.12835262715816498,-39.84704072417248
19,0.14607326686382294,-39.42427686021231
20,0.16782864928245544,-39.58492969807274
21,0.18899352848529816,-39.11765583464859
22,0.2045423984527588,-39.36088292472712
23,0.21171526610851288,-39.10956660450586
24,0.20905433595180511,-39.13478189578262
25,0.19949465990066528,-38.57265893876203
26,0.18713003396987915,-39.194044850619704
27,0.17528626322746277,-39.43515935972046
28,0.16826649010181427,-39.59898485263375
29,0.1655392050743103,-39.45894255462152
30,0.16789712011814117,-39.45564479599771
31,0.17282772064208984,-38.912676666692946
32,0.17961417138576508,-39.04363763397974
33,0.18791745603084564,-39.23658932721524
34,0.19553053379058838,-39.37578253665576
35,0.20022691786289215,-39.195658678594654
36,0.2017335593700409,-38.75960925070332
37,0.19950604438781738,-38.70179723793987
38,0.19451047480106354,-39.69761958078229
39,0.18823488056659698,-39.26523511472308
40,0.18165840208530426,-39.24880537756264
41,0.17664563655853271,-40.134937936059
42,0.17435136437416077,-39.051564849663535
43,0.17317654192447662,-39.00729344670633
44,0.17478667199611664,-38.859336428695194
45,0.17720629274845123,-39.430918914029874
46,0.1801629662513733,-39.4320990039371
47,0.18241329491138458,-39.56243448169507
48,0.18291594088077545,-38.97080550595703
49,0.1812792271375656,-39.054588870330306
50,0.17698736488819122,-39.5951287129171
51,0.17137522995471954,-39.17428409397962
52,0.16509315371513367,-39.00903189711197
53,0.15986458957195282,-39.508187174294896
54,0.15614882111549377,-39.323359674844056
55,0.154514878988266,-39.075653272132385
56,0.15460431575775146,-39.21647152542667
57,0.1552594155073166,-39.35116502121334
58,0.1565074324607849,-38.906451813001695
59,0.15623745322227478,-39.371311908783284
60,0.1538071483373642,-39.08475649423892
61,0.1500559002161026,-39.65051453971016
62,0.1447628140449524,-39.13983970289902
63,0.13918471336364746,-39.806806102518436
64,0.13468381762504578,-39.74227564354385
65,0.13180261850357056,-40.153212081016285
66,0.13076145946979523,-38.966904901006565
67,0.13062679767608643,-39.137716744751174
68,0.13046085834503174,-40.11861396657552
69,0.12982778251171112,-39.306171519483165
70,0.1281842142343521,-39.04880466114136
71,0.12538248300552368,-39.865132805873074
72,0.12155713140964508,-39.06394442522272
73,0.11804882436990738,-40.077055014561054
74,0.11460673063993454,-39.64228014188768
75,0.11225032061338425,-40.20752116226864
76,0.1102389320731163,-39.328944509684185
77,0.10894932597875595,-39.43633727138138
78,0.10814924538135529,-39.37456191860341
79,0.1068941131234169,-39.08411465250204
80,0.10526863485574722,-39.39718936151306
81,0.10342594981193542,-39.89005255085453
82,0.10104800760746002,-39.22525844878332
83,0.0984959676861763,-39.25802584120586
84,0.09569242596626282,-39.928911461897115
85,0.09330382943153381,-39.049930812009876
86,0.09171511977910995,-39.267391925505564
87,0.09007158875465393,-39.656503682896364
88,0.08921600133180618,-39.20875979701955
89,0.08795546740293503,-39.28057490288252
90,0.08679786324501038,-39.30557878736941
91,0.0852522924542427,-39.67829389755775
92,0.08332758396863937,-38.93610995969025
93,0.08069605380296707,-40.010599913655426
94,0.07851197570562363,-39.610596332847344
95,0.07696742564439774,-39.35723325841731
96,0.07600001990795135,-38.96480112790209
97,0.07520031929016113,-39.25797788654504
98,0.07403000444173813,-39.38427110736288
99,0.0728636309504509,-39.74981217725647
100,0.07148527354001999,-39.2369943452444
101,0.06972526758909225,-39.676158911374955
