time,absolute_error,loss_FD,loss_BC
1,0.062235187739133835,-20.738186671597507,0.11595487966226178
2,0.016843397170305252,-20.199011482975198,0.011468059274362463
3,0.03033902682363987,-20.27618003426975,0.02586200917332869
4,0.04380696266889572,-20.373110630596475,0.05780984919566034
5,0.03767501190304756,-18.985205646505385,0.049807678186300886
6,0.02303525060415268,-19.579906165731526,0.02112345553775326
7,0.01250182930380106,-19.296030558148654,0.0027168584959918873
8,0.021122923120856285,-19.963258610049287,0.008218964553422647
9,0.03194954991340637,-19.132889574485343,0.024014914241369326
10,0.036727145314216614,-20.174264725891888,0.02946639497896448
11,0.03429168835282326,-18.862904725830788,0.01989638855428675
12,0.028502725064754486,-19.43162640997715,0.007478062928277969
13,0.020721618086099625,-19.598709164851233,0.0018078076660667621
14,0.018073048442602158,-19.848643420365725,0.00517781103869275
15,0.02247164398431778,-20.498809246586404,0.011834824477563307
16,0.025796053931117058,-19.091794158855492,0.014728435873526662
17,0.024486372247338295,-19.93022572257923,0.011534554102127049
18,0.02201242372393608,-19.127653050215663,0.005210702743913024
19,0.022256894037127495,-19.4259280480753,0.0011341232732798314
20,0.02654184028506279,-20.082881011533715,0.0019917559557390252
21,0.031773652881383896,-20.103930611869167,0.005525451086308504
22,0.03382587432861328,-21.169449458985593,0.007686326436601344
23,0.033237993717193604,-19.808823834692312,0.0066808615038884845
24,0.029377250000834465,-18.968275432298096,0.003606650535344164
25,0.02616771124303341,-19.95170957895506,0.0009878184857514236
26,0.024298012256622314,-19.139438754968236,0.0008719803363975027
27,0.02308720536530018,-19.53385577158362,0.0027809931716409496
28,0.023703979328274727,-19.790132106771985,0.004445787816644134
29,0.023698771372437477,-20.164551895785188,0.004223599823104712
30,0.023056529462337494,-18.94687564019353,0.0024030040884104502
31,0.023478824645280838,-20.121055947944804,0.0007493692164372418
32,0.02413949742913246,-19.737085999761927,0.0004956252425950677
33,0.024773573502898216,-19.888561083535734,0.0014056543623484875
34,0.024813974276185036,-20.126271441733465,0.002417316976958667
35,0.024707134813070297,-19.39322451976708,0.0022889339928120417
36,0.02372867986559868,-20.21598569465075,0.0011715693652794312
37,0.02448219060897827,-19.66943514022459,0.000280423247269228
38,0.026155900210142136,-19.71624438942339,0.0003381462512705404
39,0.026909546926617622,-19.325469168144238,0.000998835816249044
40,0.028436826542019844,-20.11856824286217,0.0013384914177276388
41,0.027966288849711418,-20.647336074399032,0.0011642088380046391
42,0.026469871401786804,-19.483723266939748,0.0005072209545657856
43,0.02548191323876381,-20.37542895961736,0.00012960605054584644
44,0.02421012707054615,-20.55331680293316,0.00028323439573148224
45,0.02344120293855667,-20.150640375563903,0.000653705942725048
46,0.022978777065873146,-19.002285987279926,0.0007285315108258185
47,0.021857334300875664,-19.957610531285276,0.0004516876011868654
48,0.021468717604875565,-19.364342417996156,0.0001464674944578359
49,0.02033833973109722,-19.815759121388282,0.00010856843154873068
50,0.020249120891094208,-20.026348142819913,0.00028160137475152975
51,0.019195416942238808,-20.425166352643345,0.000421701788006138
52,0.01835867203772068,-19.250878168705103,0.0004003846722714817
53,0.01684303767979145,-19.730089745569742,0.00017021614558473182
54,0.016297316178679466,-19.841656323995565,6204670567724126e-20
55,0.015839708968997,-19.33202782248223,0.00014750000806422052
56,0.015703929588198662,-20.65364430449125,0.00024081334476148026
57,0.015623413026332855,-19.38432397934944,0.0002393319883116922
58,0.014828336425125599,-19.217651644716273,0.00016464532156090255
59,0.01352718472480774,-20.64996164356113,5747328625481892e-20
60,0.013385978527367115,-20.098720170010246,7654773506669158e-20
61,0.012341728433966637,-19.304662426981288,0.00016623597891293502
62,0.011812552809715271,-19.881263068052046,0.00017924936571955856
63,0.011746042408049107,-19.455963841109117,0.00010936463017852973
64,0.011524162255227566,-18.899039895424544,5574491295945647e-20
65,0.011632202193140984,-19.33487736794328,58234724751310776e-21
66,0.01244418416172266,-19.24891397871454,0.00010728522136882986
67,0.012243819423019886,-19.36902046632002,0.00014982722873626696
68,0.011819074861705303,-20.04501336749253,9801412515736329e-20
69,0.011035758070647717,-19.72447071548953,43630450765640526e-21
70,0.011188844218850136,-20.102735201558964,4900849413573734e-20
71,0.010947054252028465,-19.39914120550022,878329138047845e-19
72,0.010787616483867168,-20.139885436089354,8162670875933075e-20
73,0.010938591323792934,-19.446057791641586,6544151126816338e-20
74,0.01079679373651743,-19.86012557739562,4684123556790532e-20
75,0.010757152922451496,-19.44999781246156,4020728395757279e-20
76,0.010945637710392475,-19.158428941119134,4418773920944561e-20
77,0.010905830189585686,-20.51477661682934,5553810303562415e-20
78,0.010557906702160835,-19.26489535164319,38342899228369324e-21
79,0.009535198099911213,-19.471852514950733,4091040278726491e-20
80,0.008686631917953491,-19.74032861786487,44111104614450984e-21
81,0.00792918261140585,-21.52149546923691,45211150490059146e-21
82,0.007853143848478794,-19.440898034617412,5593321455563099e-20
83,0.007766207680106163,-20.418874050046227,41013694168244217e-21
84,0.006758370902389288,-19.107493975812744,3956298017034334e-20
85,0.006567054893821478,-19.757947674539746,3436753677915931e-20
86,0.006397645454853773,-18.522262324408683,4507290044955246e-20
87,0.0057781231589615345,-19.17087212846119,4966788669389508e-20
88,0.005518853198736906,-20.565691123844537,33545842663325245e-21
89,0.004982477053999901,-19.35498160091839,30266885135533897e-21
90,0.004847996402531862,-20.753536029855027,31501893414616886e-21
91,0.005324593745172024,-19.914737401520192,3166886051149027e-20
92,0.005858961958438158,-19.32318082885412,35067147527702146e-21
93,0.006465823855251074,-19.04781421890301,27233494317100793e-21
94,0.006918477825820446,-19.61607228066449,33325359179199475e-21
95,0.007537552155554295,-19.314019394719594,33487427834930426e-21
96,0.00749594159424305,-20.29551665178751,3607659714493594e-20
97,0.00904108677059412,-18.997773909181852,27826391086829212e-21
98,0.009580318816006184,-19.85704353177462,2574519367846379e-20
99,0.009746932424604893,-18.223968257164344,25426248196251915e-21
100,0.011085969395935535,-19.49656325013456,26699286158320655e-21
101,0.011971735395491123,-20.475918903631054,4845842359931504e-20
