time,absolute_error,loss_FD
1,15.45136833190918,-861.0967687093726
2,13.143999099731445,-626.9969857295146
3,13.798952102661133,-1998.7645188429524
4,13.363017082214355,-2810.303947464712
5,13.696101188659668,-1152.4425073857947
6,14.071130752563477,-569.5727607512817
7,14.005285263061523,-2125.9286475430563
8,13.661609649658203,-1826.9451017262181
9,14.373489379882812,-1851.0035255540424
10,13.824213027954102,-2250.9767871268177
11,13.637455940246582,-2161.75586800995
12,13.742168426513672,-1227.243836875652
13,13.17323112487793,-1039.4624448580726
14,14.121217727661133,-2190.8846163327707
15,13.600067138671875,-711.2420012833172
16,13.428128242492676,-2104.8252790999795
17,13.654830932617188,-2629.947637655763
18,14.19981861114502,-1991.9262025766002
19,12.728322982788086,-1365.4585831541172
20,13.329418182373047,-3195.693782085018
21,13.607559204101562,-1345.7018796627017
22,13.08104133605957,-1371.1406954434115
23,13.234989166259766,-2338.8039115189695
24,13.463801383972168,-2688.276954470528
25,13.13878345489502,-2299.864700343849
26,12.940702438354492,-1515.9921002384963
27,12.892478942871094,-2019.4828696072018
28,12.092960357666016,-1709.7417516706682
29,13.286093711853027,-2648.052601355921
30,12.852436065673828,-2150.856856670218
31,12.515015602111816,-1991.1319641191021
32,13.041229248046875,-2522.7905271889995
33,12.442749977111816,-1578.197678655526
34,12.606245994567871,-1581.3718729472457
35,13.130395889282227,-1087.3095227017056
36,12.095815658569336,-2556.1992049242926
37,13.055501937866211,-1194.8606563284557
38,13.16533088684082,-2634.959330371181
39,12.360939979553223,-2085.202553699475
40,13.31545352935791,-692.7139105071419
41,11.554747581481934,-3002.26777657399
42,12.359278678894043,-1980.323896689495
43,12.752336502075195,-2686.3866281277496
44,12.394328117370605,-1594.6716826442535
45,13.2311372756958,-1627.735632274811
46,13.590189933776855,-3490.1088206835357
47,11.960460662841797,-2578.153725527616
48,13.016342163085938,-1465.804867561861
49,11.759634017944336,-3364.1777977079564
50,12.926518440246582,-2400.401444970892
51,11.989523887634277,-2071.6211382565652
52,12.381692886352539,-2467.161329349012
53,12.511539459228516,-3588.401978196649
54,12.432547569274902,-1629.610022467552
55,12.520403861999512,-887.2616693317468
56,12.234379768371582,-2635.2271497107977
57,11.922652244567871,-3172.0517940723257
58,12.473152160644531,-1194.6540225302651
59,11.92832088470459,-1629.301469855698
60,11.79450511932373,-1987.7193337600547
61,12.327048301696777,-2318.016043434134
62,11.430950164794922,-2098.2702377853857
63,11.992698669433594,-2666.682253790903
64,11.760017395019531,-2619.5641592247957
65,11.448850631713867,-2014.8816591390168
66,11.549979209899902,-2024.7826060982552
67,11.783072471618652,-2550.3957247284743
68,11.127904891967773,-1638.9998662459184
69,11.757603645324707,-3395.036283006755
70,10.700740814208984,-2669.887257837565
71,11.249306678771973,-2720.198554388653
72,10.841452598571777,-2831.475971950749
73,10.989434242248535,-4357.872108522188
74,10.963294982910156,-3065.427401876341
75,11.200071334838867,-3196.0540742378507
76,10.766077041625977,-1644.6270302446264
77,10.406147956848145,-2090.510612748327
78,10.145342826843262,-2902.601407152237
79,9.805376052856445,-2673.8429873690584
80,10.519808769226074,-2547.82886640341
81,10.024435997009277,-2785.7931552777045
82,10.782183647155762,-4114.307342082759
83,10.2388334274292,-3334.6673320185128
84,10.176724433898926,-2093.1239687576963
85,9.09779167175293,-2887.757040889219
86,9.940009117126465,-2947.7402971982992
