time,absolute_error,loss_FD
1,220.69744873046875,-1338988.3876555339
2,144.3058319091797,-1331556.615267558
3,173.37490844726562,-1417253.3728828141
4,153.15774536132812,-1144189.5023596901
5,151.3431854248047,-1348552.4439504994
6,147.35348510742188,-1369751.6580902953
7,152.46559143066406,-1421917.6686840532
8,162.04420471191406,-1243895.296636587
9,158.80810546875,-1237797.870735662
10,145.18092346191406,-1261418.1434400063
11,151.02798461914062,-1477103.6570984889
12,147.42822265625,-1315287.8302921914
13,158.6211395263672,-1476578.2748076469
14,158.16053771972656,-1595793.8230277607
15,141.61302185058594,-1419085.248918889
16,162.41717529296875,-1331110.33456189
17,165.62289428710938,-1555294.3545034314
18,144.35610961914062,-1661849.3545069601
19,145.39651489257812,-1479898.801410419
20,133.99412536621094,-1303901.4013547925
21,152.5780487060547,-1340034.2257900238
22,138.88809204101562,-1332442.7777465032
23,146.21371459960938,-1379588.8651249371
24,153.71478271484375,-1493183.3236994725
25,151.7932586669922,-1440680.2690662583
26,135.64527893066406,-1308670.5548717724
27,148.944091796875,-1539771.969001173
28,147.62811279296875,-1589603.6821323372
29,138.52395629882812,-1520279.434169338
30,139.59756469726562,-1678658.7049336126
31,141.906494140625,-1538665.8665636685
32,138.31231689453125,-1398424.9261144465
33,136.90411376953125,-1441213.6635346701
34,140.13137817382812,-1462101.8665821124
35,131.34776306152344,-1587220.798594595
36,134.68907165527344,-1894792.9736734917
37,142.08045959472656,-1750254.003111918
38,128.0534210205078,-1768586.3967145192
39,127.45268249511719,-1849637.4629713828
40,121.55736541748047,-1571422.702796355
41,119.69287109375,-1576137.4511422496
42,109.75297546386719,-1782270.6991104735
43,133.05575561523438,-1856218.1988501693
44,112.84501647949219,-1745762.8696029228
45,108.81485748291016,-1859827.3271359862
46,106.7955093383789,-1840522.0706291632
47,111.7684097290039,-1775072.3969122171
48,102.17279052734375,-1726217.688117513
49,106.1628189086914,-2136321.9807487973
50,101.35174560546875,-1962225.3427662482
51,95.0404052734375,-2011519.586756751
52,86.0984878540039,-2106947.2047649976
53,82.84998321533203,-2023355.4229445993
54,83.17558288574219,-2063463.802272771
55,85.9044189453125,-2171653.813477569
