time,absolute_error,loss_FD
1,15.46342658996582,-1414.9838086803848
2,13.284363746643066,-1624.05960785766
3,13.878422737121582,-1755.1383642639012
4,13.457247734069824,-1684.1828429809539
5,13.694954872131348,-1601.976480635507
6,14.177084922790527,-1787.1469808230104
7,14.054069519042969,-1894.9508264485976
8,13.685133934020996,-1850.8239108914422
9,14.395458221435547,-1967.0751364638818
10,13.825177192687988,-1708.0362667444388
11,13.704422950744629,-1773.2291720725607
12,13.733041763305664,-1964.745954524049
13,13.16035270690918,-1718.0301109974953
14,14.211113929748535,-1793.0400012984574
15,13.61024284362793,-2063.8870516564402
16,13.42342758178711,-1870.8465805990309
17,13.678746223449707,-1907.5875906576312
18,14.169562339782715,-1843.356294424906
19,12.76280689239502,-1994.9502853544127
20,13.360472679138184,-2078.852063507753
21,13.650323867797852,-1984.7517107831209
22,13.093016624450684,-2043.573413389544
23,13.207843780517578,-2192.5328296939897
24,13.428365707397461,-2138.3940669689946
25,13.11381721496582,-2129.808782382557
26,12.936050415039062,-2047.1555877405244
27,12.83420181274414,-2184.123830755547
28,12.050102233886719,-2169.0455150425405
29,13.214970588684082,-2304.114788832383
30,12.737391471862793,-2039.1940343222777
31,12.438700675964355,-2183.7224218700503
32,13.012816429138184,-2179.491422496749
33,12.367297172546387,-2244.0640732463416
34,12.56684398651123,-2134.000893260287
35,13.056347846984863,-2184.2213606882997
36,11.946794509887695,-2186.794845980394
37,12.9403076171875,-2199.6354353997867
38,13.00223445892334,-2371.884994891647
39,12.247127532958984,-2285.4038964958036
40,13.121065139770508,-2441.970199209789
41,11.45162296295166,-2548.3313188799584
42,12.165756225585938,-2367.896175028234
43,12.532647132873535,-2436.3965156813156
44,12.116189956665039,-2191.128220926761
45,12.967338562011719,-2489.713648900657
46,13.19945240020752,-2472.256117827088
47,11.730457305908203,-2470.305434714275
48,12.6461181640625,-2421.8609720808745
49,11.329086303710938,-2556.2192925638265
50,12.293865203857422,-2528.542950542207
51,11.500744819641113,-2594.250542697404
52,11.908734321594238,-2588.785433309491
53,11.899433135986328,-2508.853937649057
54,11.892683982849121,-2740.963651828166
55,11.864385604858398,-2556.6005270904498
56,11.458166122436523,-2650.7698168967527
57,11.09521484375,-2802.777174803521
58,11.66295337677002,-2838.0176238337135
59,11.141029357910156,-2790.994555528636
60,10.888659477233887,-2792.7936521286338
61,11.254157066345215,-2865.919148195624
62,10.362671852111816,-2889.2294007874825
63,10.699105262756348,-2983.797744317293
64,10.472850799560547,-2944.0619161305585
65,10.293222427368164,-2834.718241935574
66,10.388319969177246,-2881.7781578488666
67,10.390217781066895,-3009.8020942305666
68,9.857650756835938,-3189.765702873352
69,10.347451210021973,-3266.8660518090674
70,9.260135650634766,-3054.451082433532
71,9.816883087158203,-3323.1123565427806
72,9.33197021484375,-3403.0082440813712
73,9.615195274353027,-3402.767604216455
74,9.377392768859863,-3214.0648061312477
75,9.471007347106934,-3463.383832639938
76,9.002731323242188,-3486.0501989279965
77,8.744821548461914,-3531.9188393395434
78,8.618535041809082,-3440.0997258966363
79,8.301620483398438,-3458.837897072779
80,8.631479263305664,-3490.6169193707083
81,7.757227897644043,-3629.5631239487357
82,8.486302375793457,-3750.242758407556
83,7.656957149505615,-3605.1828711238013
84,7.938031196594238,-3677.5091344895836
85,7.13068962097168,-3698.575015137312
86,7.395400524139404,-3796.6660510052334
87,7.637167930603027,-3754.4008219576244
88,6.535851001739502,-3829.275942608633
89,7.277759552001953,-3827.668696506339
90,6.580573081970215,-4023.827040088172
91,6.305011749267578,-4074.166153473393
92,6.377851963043213,-3952.974589813055
93,6.10594367980957,-4050.7702138100276
94,5.922221660614014,-4041.8282841360933
95,5.767498016357422,-4003.9822777830104
96,5.727360248565674,-4109.0108208197935
97,5.704278945922852,-4103.755430091893
98,5.857436656951904,-4108.190762872851
99,5.349710464477539,-4178.785860892735
100,5.140206336975098,-4249.783235372582
101,5.346217632293701,-4316.409155222407
102,4.947136878967285,-4146.358979596362
103,5.070568084716797,-4403.283551261567
104,4.680361270904541,-4268.019956145587
105,4.737920761108398,-4367.491162272993
106,4.505462646484375,-4375.740471381064
107,4.221810340881348,-4381.460463203241
108,4.502037525177002,-4398.743030968708
109,4.2856926918029785,-4346.348650099128
110,4.033590793609619,-4572.780087577843
111,4.202998161315918,-4416.712346924007
112,4.005098819732666,-4510.306914564591
113,3.86008882522583,-4438.29437928414
114,3.8163208961486816,-4578.883330748857
115,3.520972728729248,-4602.837102531221
116,3.663679838180542,-4711.934321888373
117,3.48241925239563,-4496.66443582538
118,3.449460506439209,-4591.189736621661
119,3.41699481010437,-4588.01478728311
120,3.4162919521331787,-4566.827521974411
121,3.307781457901001,-4642.4846086510815
122,3.1386559009552,-4684.380526649155
123,3.128957748413086,-4619.041057713097
124,2.906768798828125,-4676.021693680516
125,2.8459253311157227,-4706.077094087407
126,2.9458770751953125,-4710.733982522418
127,2.8216726779937744,-4776.185187213831
128,2.866503953933716,-4762.841071309974
129,2.7050390243530273,-4634.648429879726
130,2.5749590396881104,-4690.397597984364
131,2.6693265438079834,-4722.466281992867
132,2.5302486419677734,-4709.959581784866
133,2.6211044788360596,-4860.361299761686
134,2.5770137310028076,-4804.664076076757
135,2.5333921909332275,-4695.066100840413
136,2.4659605026245117,-4785.581879556417
137,2.5586740970611572,-4779.914299874339
138,2.4194507598876953,-4692.82995234965
139,2.328528642654419,-4849.544854703104
140,2.364194393157959,-4794.303130086282
141,2.4373714923858643,-4743.383082151814
142,2.3122129440307617,-4733.826598267098
143,2.4037516117095947,-4708.798276513204
144,2.3522706031799316,-4702.54090359068
145,2.275991916656494,-4844.818559814574
146,2.298227548599243,-4832.586048441628
147,2.283785581588745,-4772.577262355173
148,2.289616346359253,-4831.63054518694
149,2.4248549938201904,-4706.5154659763
150,2.273491621017456,-4779.452076484574
151,2.2520291805267334,-4740.317918374492
152,2.2536914348602295,-4796.501896269274
153,2.250375509262085,-4681.677387758608
154,2.2898929119110107,-4825.508128995234
155,2.290090799331665,-4796.724209976615
156,2.2889106273651123,-4679.7712731343
157,2.3012843132019043,-4858.042987170318
158,2.220815420150757,-4808.244038171062
159,2.3137412071228027,-4765.2032145266685
160,2.236544370651245,-4770.82583975778
161,2.2342920303344727,-4744.533032069717
162,2.2389779090881348,-4783.507694883418
163,2.354707717895508,-4790.33546008287
164,2.291167974472046,-4817.237941481681
165,2.2312991619110107,-4764.019032282077
166,2.3480353355407715,-4779.314771169449
167,2.2981107234954834,-4809.49699327262
168,2.2226381301879883,-4745.097623851121
169,2.203801393508911,-4828.447983118532
170,2.3096110820770264,-4790.362242307861
171,2.2904253005981445,-4782.850046162285
172,2.1970736980438232,-4700.899404637571
173,2.2543373107910156,-4747.920659071818
174,2.268602132797241,-4783.184640189089
175,2.3309617042541504,-4702.103885060593
176,2.263284206390381,-4832.2564393370285
177,2.2331349849700928,-4747.023174329813
178,2.2496533393859863,-4850.292011213348
179,2.241847038269043,-4853.195176150208
180,2.2676429748535156,-4789.166338960111
181,2.211886167526245,-4768.341319647268
182,2.2637927532196045,-4844.647648967778
183,2.2839934825897217,-4884.275609473277
184,2.197462320327759,-4760.866238799613
185,2.2740862369537354,-4761.067007877992
186,2.1681342124938965,-4767.292716034529
187,2.129709482192993,-4709.579770067266
188,2.1313652992248535,-4781.083155081223
189,2.22357439994812,-4799.278873991924
190,2.194600820541382,-4718.921827911321
191,2.298352003097534,-4755.550132720854
192,2.1429126262664795,-4748.024826275357
193,2.233339309692383,-4905.136500854675
194,2.1471457481384277,-4793.973651061306
195,2.1960630416870117,-4732.970428692372
196,2.135227918624878,-4788.583846140746
197,2.222496509552002,-4796.7591923028385
198,2.195455551147461,-4734.971387581623
199,2.257944107055664,-4789.731689812651
200,2.146991491317749,-4798.231855502334
201,2.2255747318267822,-4694.5479408890415
202,2.2689900398254395,-4761.464487163582
203,2.2708137035369873,-4814.948323200081
204,2.208012580871582,-4741.287171512217
205,2.213881015777588,-4739.072700478198
206,2.203434944152832,-4726.4045321292915
207,2.2087974548339844,-4838.110836962219
208,2.1271400451660156,-4824.356812798598
209,2.212752103805542,-4712.386061819802
210,2.188014268875122,-4821.22412212563
211,2.3104331493377686,-4799.031813860814
212,2.209954023361206,-4782.214950169121
213,2.1313395500183105,-4846.355127734395
214,2.1935102939605713,-4772.531825989092
215,2.166459083557129,-4810.0862360783385
216,2.223841667175293,-4759.112269670218
217,2.1924197673797607,-4772.816284381264
218,2.1489579677581787,-4793.298360137045
219,2.2259159088134766,-4772.870749431904
220,2.2579355239868164,-4755.874644169838
221,2.1987476348876953,-4868.393276212583
222,2.225956916809082,-4859.6584063373675
223,2.205381393432617,-4788.803760642089
224,2.209040880203247,-4732.282199375675
225,2.1381044387817383,-4914.187137404296
226,2.1553640365600586,-4729.884851473714
227,2.1759064197540283,-4821.079396545631
228,2.2591748237609863,-4825.950208718181
229,2.184882879257202,-4820.736733261013
230,2.165219306945801,-4807.666824707507
231,2.188626527786255,-4771.264710472182
232,2.1668710708618164,-4784.87198825678
233,2.1878976821899414,-4768.141055992799
234,2.121741771697998,-4873.565283655423
235,2.210251569747925,-4738.660180107865
236,2.183927059173584,-4799.563225560759
237,2.287076234817505,-4762.743641082632
238,2.169196367263794,-4746.163785854027
239,2.144270420074463,-4819.286925513109
240,2.230146884918213,-4788.696620459245
241,2.1720476150512695,-4899.2595540987395
242,2.1655468940734863,-4659.15085538438
243,2.2730631828308105,-4815.708475587532
244,2.1699016094207764,-4738.9426126185535
245,2.158942222595215,-4876.062453816449
246,2.256145715713501,-4828.502395985934
247,2.1243560314178467,-4842.267572022369
248,2.202446937561035,-4683.298731301633
249,2.168518543243408,-4873.45600175053
250,2.1299326419830322,-4847.149063496761
251,2.139266014099121,-4841.111010838608
252,2.2314724922180176,-4801.9914517049565
253,2.1648192405700684,-4789.505951563035
254,2.099409580230713,-4680.032720701976
255,2.0975120067596436,-4777.750729004576
256,2.2071948051452637,-4831.533523494477
257,2.1738638877868652,-4771.26821349757
258,2.084000825881958,-4843.907467545945
259,2.112752676010132,-4782.205273209148
260,2.1352477073669434,-4760.859398656137
261,2.2079288959503174,-4748.087712024249
262,2.1958060264587402,-4803.755121553604
263,2.1158175468444824,-4823.705259007593
