time,absolute_error,loss_FD
1,291.0591125488281,-1286919.858949577
2,252.63751220703125,-1291849.1362966425
3,241.88621520996094,-1327427.051095158
4,245.56106567382812,-1351190.1321061729
5,239.9506378173828,-1328723.5843032901
6,244.64671325683594,-1366334.0577108096
7,253.7650909423828,-1375056.5049165948
8,231.18307495117188,-1398079.050060034
9,237.61131286621094,-1364245.9286749465
10,244.94216918945312,-1427906.8473256268
11,236.02008056640625,-1391553.8894244211
12,232.92593383789062,-1403180.662260072
13,235.8717803955078,-1388413.7497947805
14,236.8062744140625,-1414794.2663635032
15,241.6728973388672,-1406136.718877997
16,233.81906127929688,-1446387.4425540292
17,231.88214111328125,-1369141.1541148352
18,238.9508514404297,-1434203.01817633
19,238.91546630859375,-1468641.946357689
20,248.4287567138672,-1414311.4095973868
21,232.3668212890625,-1452741.6317704336
22,234.3602752685547,-1452053.0881845944
23,234.23423767089844,-1466907.323943634
24,253.3495635986328,-1472909.3682093385
25,234.7484588623047,-1521014.302378191
26,249.30953979492188,-1488061.8334810399
27,244.3401641845703,-1481264.826316651
28,236.77101135253906,-1493912.7525132648
29,234.61563110351562,-1490559.8238510469
30,242.03306579589844,-1508768.7131607553
31,221.30581665039062,-1512625.3745612227
32,229.61634826660156,-1515087.3677251975
33,225.48326110839844,-1541581.0793875074
34,221.89752197265625,-1579542.1890400143
35,217.48794555664062,-1524180.818851437
36,225.71897888183594,-1590204.6335989076
37,230.34886169433594,-1565153.594566259
38,227.9495391845703,-1558366.4181375038
39,219.43142700195312,-1622341.2839959187
40,204.3658905029297,-1635544.6175287436
41,215.48745727539062,-1629616.700305191
42,204.7802734375,-1598029.9195610092
43,212.36227416992188,-1675657.6621961086
44,214.98878479003906,-1658765.0370798816
45,205.142578125,-1700709.340558286
46,187.1544189453125,-1707950.8573230447
47,200.55807495117188,-1695638.6288984187
48,181.42233276367188,-1757023.474916617
49,202.70619201660156,-1714948.073162388
50,206.8384246826172,-1752709.5085330314
51,204.4581298828125,-1748371.7907195394
52,190.24615478515625,-1775118.6390211442
53,196.5521240234375,-1796832.9495737522
54,186.798583984375,-1856390.4209583246
55,181.3563995361328,-1831851.8178768286
56,185.59732055664062,-1839698.5159149137
57,177.1999053955078,-1849951.58292521
58,169.96238708496094,-1845042.6095308363
59,168.23548889160156,-1891252.1882007252
60,162.64431762695312,-1897673.7846565163
61,163.5749969482422,-1940594.2208640184
62,164.73057556152344,-1956627.001690675
63,149.90194702148438,-1950796.1000142277
64,148.29957580566406,-1982384.6782690901
65,153.12445068359375,-1978938.792391815
66,154.5136260986328,-1990821.3457176262
67,153.6846160888672,-2012369.5251115658
68,143.01133728027344,-2058188.3341814242
69,140.905029296875,-2044693.0792617374
70,140.43792724609375,-2041705.553848985
